description,prob_type
"Please supply labor and materials to replace light bulbs in the main office area of the second fl at 620 N. caroline street.  Contact person is LaVeda Bacetti, 410-396-9404.",Electrical
"pick up 12 ballast change out lights and ballast 240, paper towel dispensers 254 and various places and install door stp 207, 600 and other places.",Electrical
CHANGED BULB ON BALTIMORE STREET SIDE,Electrical
CHANGED BATTERY TO THERMOSTAT IN CHRONIC DISEASE AREA,HVAC
REPLACED BALLAST & CHANGED LIGHT IN SUPPLY ROOM,Electrical
"REPAIRED LIGHT SWITCH, CHECKED FOR SHORTS, RESET BREAKER",Electrical
UNCLOGGED TOILET & CLEANED FLOOR,Plumbing
ASSISTED CONTRACTOR WORKING ON UNIT #9,HVAC
REPLACED BLOWN LIGHT IN OFFICE AREA,Electrical
RESET BREAKER IN SCHOOL HEALTH,Electrical
CHECKED AIR & HEAT UNITS,HVAC
REMOVED SPOON FROM GARBAGE DISPOSAL,Plumbing
CHECKED AIR UNITS,HVAC
CHECKED AIR UNITS,HVAC
REPLACED SPUD SEAL & DIAPHRAGM IN MEN'S ROOM,Plumbing
TIGHTENED TOILET SEAT IN MEN'S ROOM,Plumbing
Back parking lot of voting warehouse needs all lights repaired asap.,Electrical
"Labor and material to perform preventive maintence on all HVAC equipment

Olivia 4/6/16
Assigned to Sergio",HVAC
"A work request was issued last week for no hot water at 1829 Edison Hwy.  The issue was resolved at that time, but has returned.  
Contact Gia Hughes at 410-396-1023.  See below for previous request.
 Work Request Details  
 Work Request Code: 64046   Work Request Status: Closed  
 Requested by: JOHN.CIERNIAK   Requestor's Phone #: 410-396-5182  
 Date Work Requested: 03/29/2016   Time Work Requested: 3:39 PM  
 Account Code: 1001-000000-5153-387800-603016   Building Code: P01051  
 Building Name: DPW Solid Waste Office   Floor Code: 1  
 Room Code:     Problem Type: PLUMB/OTHER  
 Work Description: Both the men's and ladies' locker room at the 1829 Edison Highway location have no hot water .
Contact Gia Hughes 410-396-1023.  
 Supervisor: JOHN.HAMMOCK   Work Team Code:",Plumbing
"Labor and material to perform preventive maintenance on all HVAC equipment.

Olivia 4/6/16
Assigned to Sergio
4/6/16 Preventive Maintenance was cancel , was completed on February 23,2016",HVAC
unclog sink drain -kitchenette,Plumbing
"alarm panel is beeping and will not stop 
need asg before I loose my mind
maggie Blake on site til 5
410-821-7448",Electrical
"LABOR AND MATERIALS TO REPLACE THE AIR CONDITIONING, ROOF TOP UNIT AT COLDSTREAM RECREATION CENTER AS OUTLINED IN THE ATTACHED PROPOSAL FROM J. F. FISHER AT A COST OF $23,721.00",HVAC
"MATERIAL COST TO COMPLETE REPAIRS TO FAN WHEEL ON SHAFT ON RTU #1 AT PATTERSON PARK/VSBAKER RECREATION CENTER - THIS IS A CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Olivia 4/6/16
Assigned to J.F Fisher",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEATING UNIT AT THE GWYNNS FALLS TRAIL HOUSE - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Olivia 4/7/16
Assigned to J.F Fisher",HVAC
"Make the necessary repairs to the heating unit where the ladies sit on the 1st floor of the main building (Sector 1) at 6400 Pulaski Highway.

Contact person: Steve Henderson 410-396-5949

Olivia 4/7/16
Assigned to R.F Warder",HVAC
"Request to replace filter and clean ice machine at 1829 Edison Hwy. Will not make ice.
Contact Gia Hughes at 410-396-1023.

Olivia 4/7/16
Assigned to Denver Elek",Plumbing
"need an electrical quote to furnish electrical outlets, whips to training tables at 4 S. Frederick Street.  i will supply the drawing diagram. contact person Loretta Brown 6-3313 or 443-934-4093.",Electrical
install gasket seal on handicap toilet  -womens room,Plumbing
install gasket seal on handicap toilet - womens room,Plumbing
Change ballast in Lt. office,Electrical
REPLACED POLE LIGHTS & CHECKED FOR SHORTS - MEMORIAL HALL,Electrical
UNCLOGGED TOILET & ADJUSTED WATER FLOW,Plumbing
UNCLOGGED TOILET & CLEANED FLOOR,Plumbing
COMPLAINT WATER RUNNING - CLEANED FILTER TO STOP,Plumbing
two electrical outlet not working in the Chief's office in room 203.  please check.  contact person Loretta Brown 6-3313.,Electrical
Please provide labor and materials to unclog the toliet in the Men's Room in the Basement and also the Men's Room in the STD wing.,Plumbing
Please provide labor and materials to unclogg the sink in RM 157.,Plumbing
"The bell to the front door entrance on 3rd floor was accidentally pulled out from under the desk. The wires are hanging out and needs to be repaired.

Contact: Samantha Luckhardt 410-396-5820",Electrical
"Bulbs out in light in the back hallway by the south stairwell door, light outside bathrooms, light by Chief's office, middle light fixture north stairwell and above position AS03. Contact person is the Captain on duty.",Electrical
Provide labor & material to repair leaking toilet handicapped stall,Plumbing
Provide labor & material to repair leaking toilet handicapped stall.,Plumbing
"Replace leaking valve on domestic water line in basement.
Req. 72773
Officer in charge
410-396-0214

Wycliffe Eccles

J.F. Fischer notified.    Spoke to Jason Wagaman.

Cost NTE $1,000.00.

Olivia 4/6/2016
Assigned to J.F Fisher",Plumbing
"There is a 8"" line that is no longer in use that roaches are nesting in. 

remove the pipe

contact wilbert carrington

Olivia 4/6/16
Assigned to R.F Warder",HVAC
Please proceed with the installation of the outlets at the above location,Electrical
"Please install improved lighting in the ED front lobby area. Old lighting has been demoed and existing boxes are present for use.
Jim Fisher",Electrical
"Repair oil fired boielr, no heat in station.
Req. 72767
Officer in charge
410-396-6204

Wycliffe Eccles

R.F. Warder notified.

Cost NTE $ 1,000.00

Olivia 4/6/16
Assigned to R.F Warder",HVAC
"Repair leaking domestic water line on 1st Flr.
Req. 72771
R. Flury
410-396-1785

Wycliffe Eccles

J.F. Fischer notified.       Spoke to Jason Wagaman

Cost NTE $ 2,000.00

Olivia 4/6/16
Assigned to J.F Fisher",Plumbing
The sink in the females bathroom ( first floor ) has a slow drain and also several of the hot and cold handles are broken and need to be replaced.,Plumbing
"Ravi Nallan and Pravesh Thapliyal (employees) both are having problems with their overhead light and one is missing.
They both are stationed on the 4th floor networking team.",Electrical
REPLACE BATTERIES IN EMERGENCY LIGHTS THAT ARE NOT WORKING,Electrical
"REMOVED TRAP FROM SINK, CLEANED OUT DEBRIS, REINSTALLED",Plumbing
MADE ADJUSTMENTS TO METASYS ON UNITS 14 & 7,HVAC
CHANGED BLOWN LIGHTS ON VARIOUS FLOORS,Electrical
"REMOVED DIAPHRAGM FROM TOILET, FLUSHED OUT SCALE, REINSTALLED",Plumbing
REPLACED LIGHT IN STAIRWAY,Electrical
"REPAIRED OUTLET IN LOBBY, CHECKED FOR SHORTS",Electrical
REPLACED WIRING WIRES ON UNIT 44,HVAC
"Repair electrical outlets in Ms. Amy Beth's Office, no power at receptacles.
Officer in charge
410-396-3083

Charles Claridy",Electrical
Please provide labor and materials to clean pool and then refill pool when finished.,Plumbing
"Please change light bulbs in Nancy Pivec's office and on 8th floor. 

Contact person is Danielle Burgess at 6-3746 or 6-3745.",Electrical
"Replace defective exterior light fixtures in parking lot with new LED fixtures.
Req. 72766
Officer in charge
410-396-0446

Terry Howell",Electrical
"A work request was put in for Bernie Knauer office on the 30th of March pertaining to his heat/ac unit, the air worked for 2 days and now it has stopped working altogether. Please address this matter as soon as possible.

Samara Singletary 443-741-3253",HVAC
"Please provide labor & materials to repair the generator at The Animal Shelter and restore power to the building.

Joseph Hodge is the onsite contact
TEAM has a tech on the way  4/4/16  12:50pm",Electrical
"Please provide labor and materials to fix leak in first floor back hallway. Contact Erika DesRavives with any questions at 410.396.1324.

Olivia 4/6/16
Assigned to J.F Fisher",Plumbing
"Adjust temperature in the new inspections unit located on the 2nd floor, the room is to hot.
Contact: Doug Kerr 2575

Olivia 4/5/16
Assigned to J.F Fisher",HVAC
"Good morning I am resending this request as the Budget Account Number utilized is incorrect.
Please send Technician to repair fault found on Roof Top Unit RTU#1. Technician need to return to replace condenser fan motor which was not working last week.

Please send assistance as soon as possible.

Thank you
Osbourne

Olivia 4/5/16
Assigned to J.F Fisher",HVAC
"Good morning,
Please have Technician also repair damage done to second floor Roof Top A.C.Unit #2 that has sustained damage to the fan motor cover and motor and bracket from the heavy gust over the weekend.

Technician currently wrapping up repair work on RTU#1.

Thank you
Osbourne
(443) 984-2166

Olivia 4/5/16
Assigned to J.F Fisher",HVAC
"Wall heating unit in the office of Sheila Ball blowing neither hot or cold air.  

Contact for repair Danielle Burgess at 6-3746 or 6-3745.

Olivia 4/5/16
Assigned to J.F Fisher",HVAC
LABOR AND MATERIALS TO REPAIR/REPLACE THE AIR DAMPERS IN THE MED HOUSE AT THE RAWLINGS CONSERVATORY - THIS IS A CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED.,HVAC
"REPAIRED LIGHT SWITCH, CHECKED FOR SHORTS",Electrical
UNCLOGGED TOILET & ADJUSTED SEAT,Plumbing
REPAIRED OUTLET IN FRONT OF ROOM,Electrical
CHECKED WALLS FOR COMPLAINT OF WATER SPOTS,Plumbing
REPLACED TOILET SEAT & ADJUSTED WATER FLOW,Plumbing
REPLACED WASHER FOR HOT WATER VALVE,Plumbing
"Please provide labor and materials to abate the source of water infiltration in the basement boiler room.  At this time the is approximately 1-2 inches of water on the floor in the boiler room.

Olivia 4/4/16
Assigned to Fresh Air",Plumbing
"Install lights and reconnect power outlets in Lounge.
Req. 72761
Officer in charge
410-396-1257

Ann Braun",Electrical
"Repair emergency generator, system in alarm status, ""Auxiliary Fault"".
Req. 72762
Officer in charge
410-396-6188

Jim Fisher",Electrical
"URGENT:  Repair gas leak and heater at this location asap.  Contact person is Debbie Shum (410-396-0230).

NOTE:  This work request has already been assigned to a vendor.

Olivia 4/4/16
Assigned to J.F Fisher",Plumbing
"Its reported that the AC is not working at the Quartermaster Unit

Olivia 4/4/16
Assigned to J.F Fisher",HVAC
"We need the units switched over for the air conditioning.  Contact is Sandra J. Downs 443-573-2803

Olivia 4/4/16
Assigned to J.F Fisher",HVAC
Please provide labor and materials to investigate and fix the florescent light bulbs in the first floor gift shop display cases.,Electrical
LOCATED LEAKING PIPE & ASSESSED,Plumbing
replaced light,Electrical
REPLACED BLOWN LIGHT IN MAIN HALLWAY,Electrical
REPLACED DAMAGED FAN BELT,HVAC
INSTALLED RECEPTACLES IN CONFERENCE ROOM,Electrical
REPLACED BLOWN OUT LIGHTS & BALLAST THROUGHOUT THE BASEMENT,Electrical
ASSISTED ELECTRICIAN WITH BREAKER,Electrical
UNCLOGGED TOILET IN MEN'S RESTROOM,Plumbing
ADJUSTED THERMOSTAT,HVAC
TIGHTENED TOILET SEAT,Plumbing
REPLACE EXISITNG DUPLEX OUTLET AT WATER FOUNTAIN AND INSTALL GFI OUTLET,Electrical
"Repair doorbell at front entry door.
Req. 72756
Oficer in charge
410-396-9254

Ann Braun",Electrical
"Remove electrical wiring from above drop ceiling to allow lead abatement contractor to ceiling.
Req. 72757
Officer in charge
410-396-1257

Ann Braun",Electrical
"Gilbert Luwaile's office has an outlet inside of a metal box located in the middle of the floor. Please remove the outlet it is unsafe for where it's located.

Samara Singletary 443-741-3253",Electrical
"need someone to look at the air conditioning system in room 314 in the ceiling,  Cool air is needed.   Contact person Jamal Carter.

Olivia 4/1/16
Assigned to JCI",HVAC
"Good evening,
Please send Technician to repair fault found on Roof Top Unit #1 (RTU#1) here at the TMC. Technician need to return to replace condenser fan motor which was not working last week.
Please send assistance as soon as possible

Thank you
Osbourne",HVAC
"WE ARE NOT ABLE TO OPEN THE THE SECOND FLOOR THERMOSTAT BOX, THE KEYS HAS NEVER WORKED,  PLEASE RESPOND.",Electrical
"provide labor and material to install injection quill

Olivia 4/4/16
assigned to J.F Fisher",Plumbing
leaking 6 inch pipe at main valve by hot water tank need immediate proposal for repair. Attn Wycliffe,Plumbing
"Provide labor & material to repair cooling tower -  cooling tower make up assembly is bad

Olivia 4/4/16
Assigned to J.F Fisher",HVAC
"Convert existing shoreline circuit for Hazmat Unit from 20A, 120V to 30A, 120V. Also check the shoreline for Air Flex 1 no power
Req. 72760
Officer in charge
410-396-6964

Jim Fisher",Electrical
"Provide labor and materials for installation of water softner, surface blow down control, injection quill in feeder tank.

Olivia 4/4/16
Assigned to J.F Fisher",Plumbing
"Provide labor and materials for installation of water softner, surface blow down control, injection quill in feeder tank.

Olivia 4/4/16
Assigned to J.F Fisher",Plumbing
"labor and material repair or replace cast iron pipe leaking in bathroom
contact marcus williams 443-867-5545

Olivia 4/1/16
Assigned to J.F Fisher",Plumbing
"labor and material cast iron pipe leaking domestic water bathroom
contact marcus williams 443-867-5545

Olivia 4/1/16
Assigned to J.F Fisher",Plumbing
"Mario Camacho""s office air/heat unit is not working. It has not been working for sometime now. A request was put in by Charmane Baker in the past. Can this request be expedited due to the fact that it is extremely warm in his office. There are 2 other employees station there as well. 

Any questions please contact Samara Singletary 443-741-3253

Olivia 3/31/2016
Assigned to J.F Fisher",HVAC
"Investigate possible water leak from domestic water heater, replace heater if needed.
Req. 72755
Officer in charge
410-396-1202

Wycliffe Eccles

R.F. Warder notified.

Cost NTE $ 2,500.00.

Olivia 4/1/16
Assigned to R.F Warder",Plumbing
"Clear blocked floor drain in Basement.
Req. 72758
Officer in charge
410-396-5752

Wycliffe Eccles

Mitchell Plumbing notified.

Cost NTE $ 800.00.

Olivia 4/4/16
Assigned to Mitchell Plumbing",Plumbing
"Replace PVC drains in Kitchen with copper or galvanized steel.
Req. 72759
Officer in charge
410-396-9211

Wycliffe Eccles

Mitchell Plumbing notified.

Cost NTE $ 1,200.00

Olivia 4/4/16
Assigned to Mitchell Plumlbing",Plumbing
OUR STAFF RESTROOM LIGHTS NEED TO BE REPLACED AND WE NEED THE EXHAUST FAN TO BE REPAIR AS WELL.  THE RESTROOM IS TOO DARK.,Electrical
"410 Fallsway - Toilet is clogged , they tried to plunge with no success",Plumbing
"Replace burnt out light bulbs and bad ballists inside the TAC lobby.
Contact: Bernard Scales",Electrical
Provide material 15 amp fuse for 7th floor Abel Wolman Bldg.,Electrical
CHECKED ALL EMERGENCY LIGHTS IN BLDG,Electrical
CHECKED & CALIBRATE UNITS & CHECKED DISCHARGE AIR FLOW,HVAC
"REWIRED SPOT LIGHT, CHECKED FOR SHORTS",Electrical
"REMOVED VALVE FROM SINK, CLEANED OUT SCALE, REINSTALLED",Plumbing
"LABOR AND MATERIALS TO PERFORM CHEMICAL TREATMENTS IN THE BOILER/CHILLER SYSTEMS AT OLIVER RECREATION CENTER

Olivia 4/5/16
Assigned to J.F Fisher",HVAC
Please provide labor and materials to replace the blown bulbs in various areas in the building.  Please note that the work was started but the person onsite indicated that ballasts needed to be ordered for the repair to be completed.  At this time no one has come back out and more bulbs have blown out.,Electrical
"Replace twist lock style electrical outlet in Medic Bay with a statndard 20A outlet.
Req. 72751
Officer in charge
410-396-1235

Ann Braun",Electrical
Please provide labor and materials to repair/replace the urinal in the men's room.  It is not flushing properly which is causing severe odor issues.,Plumbing
"Please provide labor and material to demo and replace men's bathroom as proposed on vendor quote attached.

Olivia 4/12/16
Assigned to Mitchell Plumbing",Plumbing
"Provide labor and material to demo and replace 1st floor men's hall bathroom and convert to female bathroom per  vendor quote specs attached.

Olivia 4/12/16
Assigned to Mitchell Plumbing",Plumbing
"Provide labor and material to demo and reconstruct women's bathroom and convert to prisoner bathroom.

Olivia 4/12/16
Assigned to Mitchell Plumbing",Plumbing
"LABOR AND MATERIALS TO PERFORM CHEMICAL TREATMENTS IN THE BOILER/CHILLER SYSTEMS AT UPTON BOXING CENTER

Olivia 4/5/16
Assigned to J.F Fisher",HVAC
"Insulate 2 segments of the chilled water pipe with fiberglass insulation within the bulkhead in the dining room. 
1st location: along the south wall in southeast corner, a hatch allows access to the area.
2nd location: Along the north wall near the northeast corner. A hole will have to be cut to access this site.

Olivia 3/31/16
Assigned to J.F Fisher",HVAC
"LABOR AND MATERIALS TO PERFORM CHEMICAL TREATMENTS IN THE BOILER/CHILLER SYSTEMS AT CHICK WEBB RECREATION CENTER

Olivia 4/5/16
Assigned to J.F Fisher",HVAC
"LABOR AND MATERIALS TO PERFORM CHEMICAL TREATMENTS IN THE BOILER/CHILLER SYSTEMS AT COLLINGTON SQUARE RECREATION CENTER

Olivia 4/5/16
Assigned to J.F Fisher",HVAC
"LABOR AND MATERIALS TO PERFORM CHEMICAL TREATMENTS IN THE BOILER/CHILLER SYSTEMS AT RITA CHURCH COMMUNITY CENTER

Olivia 4/5/16
Assigned to J.F Fisher",HVAC
"LABOR AND MATERIALS TO PERFORM CHEMICAL TREATMENTS IN THE BOILER/CHILLER SYSTEMS AT MORRELL PARK RECREATION CENTER

Olivia 4/5/16
Assigned to J.F Fisher",HVAC
"Repair air compressor for station air.
Req. 72752
Officer in charge
410-396-1235

Wycliffe Eccles

R.F. Warder notified.     

Cost NTE $ 1,000.00

Olivia 3/31/16
Assigned to R.F Warder",HVAC
"Bernie Knauer needs his heat/air unit repaired. He is unable to turn the heat off and the a/c does not work. 

Any questions feel free to contact
Samara Singletary 443-741-3253

Olivia 3/31/2016
Assigned to J.F Fisher",HVAC
"Repair thermostat for Co-Ray-Vac heater in Medic Bay.  Remove out of service line voltage thermostat in Medic Bay that controled old heating unit, install blank cover plate on electrical box if needed.
Req. 72754
Officer in charge
410-396-1235

Wycliffe Eccles

R.F. Warder notified.

Cost NTE $1,200.00.",HVAC
pick up roto rootor machine,Plumbing
UNCLOGGED SINK IN MEN'S RESTROOM,Plumbing
UNCLOGGED SINK IN KITCHEN & RESET BREAKER,Plumbing
"CHECKED UNIT #9 READING ON THE THERMOSTAT, SOMETHING ABOUT FILTER PROBLEM",HVAC
REPLACED BLOWN LIGHTS IN OFFICE,Electrical
REPLACED LIGHTS IN SAFE,Electrical
REPLACED BLOWN LIGHTS IN FRONT OFFICE,Electrical
UNCLOGGED TOILET IN MEN'S RESTROOM,Plumbing
"REPLACED DIAPHRAGM IN URINAL, CHECKED WATER FLOW",Plumbing
"Repair hot water faucet in Member's Restroom, water will not shutoff.
Req. 72750
Officer in charge
410-396-0446

Ann Braun",Plumbing
"Both the men's and ladies' locker room at the 1829 Edison Highway location have no hot water .
Contact Gia Hughes 410-396-1023.",Plumbing
Replace Light Bulbs in the admin office and in the copy machine area.,Electrical
6 bulbs are out in the Office of Administrative Hearings,Electrical
Provide labor and material to replace lights at fountain.,Electrical
"Quotes have been provided by J. F. Fisher to replace Heat Pump that serves HR Office, Kitchen, conference room to Wycliffe Eccles. The quotes have been approved by the Parking Auth",HVAC
"change heating convertar from phematic to electric
Jason on site

Olivia 3/31/16
Assigned to J.F Fisher",HVAC
"Cabinet heater located in the stairwell 5th floor landing is leaking again.  This was previously repaired by RF Warder as part of service request 59794
dated 1/19/16.  We have shut off the loop to that heater pending repair.  Contact is Mark Pappas at 396-1732

Attn: Ferdinand De Lara, Wycliffe Eccles

Olivia 3/31/16
Assigned to R.F Warder",HVAC
"Repair leachate pump in the little shed by the two large tanks and replace the flow sensor at the Millennium Landfill.  
This corresponds to the quote requested for the work to be done at the Millennium Landfill on request # 62741.
Contact Doug Carter 410-396-3772.

Assigned to Mitchell Plumbing  3-29-16  WE.",Plumbing
"Repair condensate line

Olivia 3/29/16
Assigned to Sergio",Plumbing
Provide labor and materials to install smoke detector hard wire,Electrical
"This is a follow up to work request 62889. The timer outlet needed to charge our Chopper Spotters (the device that moves Helicopters in and out of the hanger) is broken. The outlet plate was disconnected and is hanging from the wall but no one has returned to finish the repair.

DGS NOTE:  WORK REQUEST #62889 IS STILL IN THE SYSTEM.  THE ELECTRICAL SUPERVISOR WILL NEED TO PROVIDE A DATE THAT A TECHNICIAN WILL BE ONSITE TO ASSESS THE ISSUE. 3/30/16",Electrical
"replace t8 lighting with LED retrokits.  conference room and hallway

alexander mccoy",Electrical
"1. Remove trap,empty and dispose of contents in dumpster, clean trap, and return to place.
2. Record the maintenance details in log posted in kitchen, include the name of the tech, date of cleaning, approximate amount of waste removed, maintenance completed and disposal method.",Plumbing
"CHANGED LIGHTS IN MEN'S RESTROOM, REPAIRED STALL DOOR",Electrical
CLEANED EXTERIOR DRAINS,Plumbing
RESET BREAKER IN SCHOOL HEALTH,Electrical
UNCLOGGED SINK IN LADIES RESTROOM,Plumbing
"Please provide quote for the installation of CO Monitors on the RTU's at this location

Olivia 3/28/16
Sent to contractors",HVAC
"Remove two electrical outlets in the ladies bathroom at 3311 Eastbourne Ave.
Contact Muriel Rich 443-721-9032.",Electrical
7th flr conference rm and 7th flr hallway,Electrical
"Please provide a quote for the installation of CO monitors on the RTU's for this location.

Olivia 3/28/16
Sent to contractors",HVAC
"Please provide a quote for the installation of CO monitors for the RTU's at this location

Olivia 3/28/16
Sent to Contractors",HVAC
"There are light(s) out in the women's restroom on the 4th floor and I am told it is quite dark there. Please have new lights installed asap.

Thank you,
Kevin Wight
410-545-6290",Electrical
TEST EMERGENCY LIGHTING THROUGHOUT THE BLDG,Electrical
CHANGED LIGHTS IN MEN'S LOCKER ROOM,Electrical
REPLACED BLOWN LIGHTS IN ROOM 131,Electrical
REPLACED BLOWN LIGHTS IN 3RD FLOOR HALLWAY,Electrical
REPLACED BLOWN LIGHTS THROUGHOUT THE FLOOR,Electrical
REPLACED LIGHTS IN PORTABLE,Electrical
REPLACED LIGHTS THROUGHOUT THE BASEMENT FIRE SIDE,Electrical
REPLACED LIGHTS THROUGHOUT THE BOILER ROOM,Electrical
REPLACED LIGHTS IN 2ND FLOOR HALLWAY,Electrical
REPLACED LIGHTS ON 1ST & 2ND FLOOR LANDINGS,Electrical
REPLACED LIGHTS ON 1ST FLOOR HALLWAY,Electrical
RESET HEAT CONTROL,HVAC
REPLACED LIGHTS IN PORTABLE,Electrical
REPLACED LIGHTS ON THE 3RD FLOOR FIRE SIDE,Electrical
REPLACED LIGHTS IN ROOM 101B,Electrical
REHUNG CEILING LIGHT IN BASEMENT HALLWAY,Electrical
"There is no viewing capacity for the cameras at Govans,it looks like an issue with the monitor at this facility.",Electrical
"Quotes have been provided by J. F. Fisher to replace Heat Pump #6, and #10 to Wycliffe Eccles.  The quotes have been approved by the Parking Authority.",HVAC
"Repairs to leaks in the supply and return line for the hot water heater behind the boiler.

Olivia 3/28/16
Assigned to R.F Warder",Plumbing
"Please provide labor & materials to repair unit number 9.

Please contact Ned Carter for more information 410-977-7727.

Olivia 3/28/16
assigned to R.F Warder",HVAC
"Please provide a quote for the installation of CO monitors on the RTU's at this location.

Olivia 3/28/16
Assigned to Fisher",HVAC
"Please provide a quote for the installation of CO monitors for the RTU's at this location.

Olivia 3/28/16
Assigneed to Fisher",HVAC
"Please proceed with the work requested in request #62778. 
Contact at the site is Kerry Owings at 410-545-6951

Attn:  Terry Howell",Electrical
"Human Resources Training Center
Suite 509, Classroom B

The light switch is located just outside of this room. When touched, it crackles as if there is a short of some kind.

Thank you,
Kevin Wight
410-545-6290",Electrical
"Provide labor and material to replace lights in the fountain. 
Operating Capital",Electrical
CHECKED ALL LIGHTS WITH CONTRACTORS FOR REPLACEMENTS AROUND THE BLDG,Electrical
have electrician assess the issue with the pump at pimlico. pump not operating properly,Electrical
power loss at court house east court room,Electrical
"REMOVED HOT WATER VALVE FROM SINK, FLUSHED OUT SCALE, REINSTALLED VALVE",Plumbing
"REPLACED DIAPHRAGM IN TOILET, FLUSHED OUT SCALE, TIGHTENED SEAT",Plumbing
"UNCLOGGED URINAL, ADJUSTED WATER FLOW",Plumbing
"This is an emergency request. We need an HVAC contractor to troubleshoot and repair/replace a faulty steam valve operator on our steam to hot water converter which supplies hot water to the reheat coils supplying the office areas of the Ashburton Filtration Plant with heat. This affects 45 offices. Please send a contractor right away.
Assigned to J. F. Fischer  3-24-16  WE.",HVAC
"Please refer to John Hammock.  Everytime someone flushes a toilet, water will come out of the drain.  Please send someone out immediately to address.",Plumbing
preventitive maintanance plumbing.,Plumbing
"Please investigate the HVAC system in the conference room (Rm 309). Complains about the temperature, very hot.  contact person Loretta Brown 6-3313

 Inspected the slim ductless system in conference room 309, unit is failing with code P8 after running for 15 -30 minutes

Olivia 3/28/16
Assigned to JCI
Reassigned to R.F Warder",HVAC
"Major Projects is requesting a knowledgeable HVAC tech to be onsite during a shut down for the 12 floor HVAC in conjunction with the elevator project. 
These activities will take place on Monday 3/28 and Wednesday 3/30. Jason from JF Fischer has been notified and will be attending.

Olivia 3/28/16
Assigned to J.F Fisher",HVAC
"Provide labor and materials to switch over HVAC system to cooling.

Olivia 3/28/16
Assigned to J.F Fisher",HVAC
"install venting and/or run duct to disperse cool air in elevator machine room to prevent overheating in the room

3/28/16
Work assigned to Sergio R.",HVAC
"Please provide labor & materials to replace the faucet in the lunch room at Health Department Headquarters.

Ned Carter is the contact person onsite and can be reached at 410-977-7727",Plumbing
needs screw in fuses and also t8 bulbs,Electrical
needs liquid/gel drain cleaner,Plumbing
CHECKED ALL DRAIN LINES FOR DEBRIS,Plumbing
UNCLOGGED TOILET IN LADIES ROOM,Plumbing
REPLACED SPLITTING BELT ON UNIT,HVAC
purchase electrical breaker from online breaker broker. breaker is not available from contract vendors/distributors.,Electrical
REPLACED BLOWN LIGHTS,Electrical
"REPLACED BLOWN LIGHTS IN HALLWAY, CLUSTERS & CHANDELIERS",Electrical
REPLACED SPUD SEAL IN TOILET & ADJUSTED WATER FLOW,Plumbing
REPLACED RADIATOR HEAD,HVAC
ADJUSTED THERMOSTAT ON BLOWER IN COURTROOM,HVAC
ADJUSTED THERMOSTAT ON UNIT IN COURTROOM,HVAC
"REMOVED VALVE FROM SINK. CLEANED OUT SCALE, REINSTALLED",Plumbing
ADJUSTED TIMES FOR EXHAUST FANS IN BOTH RESTROOMS,Electrical
"Per Angelecia Banks of HCD/CodeEnforcment, the heat on the second floor isnt working.

Olivia 3/23/16
Assigned to Sergio",HVAC
"need lights moved, rearrange in a room on the 3rd floor where a cabinet is being build, contact person Loretta Brown  6-3313",Electrical
"Suite 1204 advises that cold air is blowing very hard from their diffusers. Please send someone to see if adjustments can be made to increase the comfort level.

Thank you,
Kevin Wight
410-545-6290

Assigned to JCI 3-28-16  WE.",HVAC
sink in handicap bathroom is clogged,Plumbing
"Three lights are out inside the building at 701 Reedbird Ave. It could be either the ballast or the bulbs.
Contact Myra Johnson 410-396-3369.",Electrical
"Two lights out on the outside of the building on the porch at the 701 Reedbird Ave. location
Contact Myra Johnson 410-396-3369.",Electrical
"Replace fan motor for AHU#3

Olivia 3/23/16
Assigned to J.F Fisher",HVAC
"Need someone to check the air dryer in the Water Jet.  The air dryer is not converting over and is just blowing air.

Contact person: Donald Henson 410-396-9288

Assigned to R.F.Warder 3-24-16  WE",HVAC
"LABOR AND MATERIALS TO PM/CHANGE FILTERS FOR THE FORESTRY ICE MACHINE - THIS IS A CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED
Assigned to J.F.Fischer   3-24-16  WE.",HVAC
"We are requesting to be switched over from heat to A/C in the next few weeks.  We are closed tomorrow 3/24 at 3:15 PM and will return 4/4 at 8:30 AM

Thank you

Assigned to J. F. Fischer   3-24-16  WE.",HVAC
Lighting in small garage keeps going out.  Racking being put in for extra storage and unsafe for forklifts to move through in the dark,Electrical
"Good afternoon,
Please send staff to replace lights that are out in both the the south and north stairwell as well as in the system room on the first floor here at the TMC. Located at 414 N. Calvert Street.

4) 4 foot lamps out on the north stairwell11 out of the 20 lamps round short spiral type out on the south stairwell
8 lamps needed in the system room located east of the control room

Thank you
Osbourne
443 984 2150",Electrical
REWIRED OUTLET & CHECKED FOR ANY BAD WIRES,Electrical
REPLACED LIGHTS IN OFFICE,Electrical
UNCLOGGED SINK,Plumbing
REPLACED LIGHT IN OFFICE,Electrical
NOISY UNIT - CHECKED UNIT FUNCTIONS & CHANGED DIRTY FILTERS,HVAC
ASSISTED JCI WITH PM TO COMPRESSOR,HVAC
UNCLOGGED TOILET IN LADIES RESTROOM,Plumbing
